pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,fielder_2,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,bat_speed,swing_length,estimated_slg_using_speedangle,delta_pitcher_run_exp,hyper_speed,home_score_diff,bat_score_diff,home_win_exp,bat_win_exp,age_pit_legacy,age_bat_legacy,age_pit,age_bat,n_thruorder_pitcher,n_priorpa_thisgame_player_at_bat,pitcher_days_since_prev_game,batter_days_since_prev_game,pitcher_days_until_next_game,batter_days_until_next_game,api_break_z_with_gravity,api_break_x_arm,api_break_x_batter_in,arm_angle,attack_angle,attack_direction,swing_path_tilt,intercept_ball_minus_batter_pos_x_inches,intercept_ball_minus_batter_pos_y_inches
FF,2026-03-31,97.2,-2.17,6.74,"Wood, James",695578,691725,strikeout,swinging_strike,,,,,11,James Wood strikes out swinging.,R,L,R,PHI,WSH,S,2.0,,1,2,2026,-0.25,1.44,-0.6295917145580135,4.134940832226816,,,686894.0,2,5,Top,,,,,,,4.650197806889226,-141.4110364505374,-4.618582464002917,-4.406980966892776,32.06434879725202,-11.993767030395968,3.488558071,1.760580709,,,,97.4,2241,6.4,823485,592663,547180,681082,664761,607208,669016,702222,666969,54.12,,0.0,0.0,1.0,0.0,0.0,,35,4,4-Seam Fastball,2,0,0,2,0,2,0,2,Standard,Standard,191,0.02,-0.183,67.1,5.5,,0.183,,2,-2,0.792,0.2079999999999999,23,23,23,24,3,2,,,,,0.97,0.25,-0.25,,-5.37920701347169,40.13354512005314,32.188393738350776,44.86884475753179,10.161694703921684
SL,2026-03-31,87.3,-2.53,6.48,"Wood, James",695578,691725,,swinging_strike,,,,,1,Swinging Strike,R,L,R,PHI,WSH,S,,,1,1,2026,0.21,0.48,-0.406702824480231,2.958279165107229,,,686894.0,2,5,Top,,,,,,,4.612033521248828,-127.0710160685644,-3.097191501425701,1.3039541755344275,27.35074215877147,-26.58090693220036,3.488558071,1.760580709,,,,87.6,2387,6.6,823485,592663,547180,681082,664761,607208,669016,702222,666969,53.91,,,,,,,,35,3,Slider,2,0,0,2,0,2,0,2,Standard,Standard,144,0.007,-0.073,73.6,6.6,,0.073,,2,-2,0.785,0.2149999999999999,23,23,23,24,3,2,,,,,2.52,-0.21,0.21,,2.602310593192952,17.159323396862813,40.08936585924289,43.00641016525697,20.1800932678156
CU,2026-03-31,80.6,-2.18,6.61,"Wood, James",695578,691725,,called_strike,,,,,5,Called Strike,R,L,R,PHI,WSH,S,,,1,0,2026,0.64,-0.77,-0.2503473475961935,2.364721653142055,,,686894.0,2,5,Top,,,,,,,3.0179522463608843,-117.3110623498308,-1.0269234902357771,5.287174862650925,23.02138078996535,-39.27156661425155,3.488558071,1.760580709,,,,81.4,2542,6.9,823485,592663,547180,681082,664761,607208,669016,702222,666969,53.62,,,,,,,,35,2,Curveball,2,0,0,2,0,2,0,2,Standard,Standard,61,0.004,-0.05,,,,0.05,,2,-2,0.781,0.2189999999999999,23,23,23,24,3,2,,,,,4.29,-0.64,0.64,,,,,,
FF,2026-03-31,96.3,-2.14,6.69,"Wood, James",695578,691725,,ball,,,,,11,Ball,R,L,R,PHI,WSH,B,,,0,0,2026,-0.49,1.21,-1.1526489138101692,4.795523246360466,,,686894.0,2,5,Top,,,,,,,3.775734957252319,-140.2150805689022,-2.117546719472446,-7.380522968286242,31.6493927486158,-15.916241491855692,3.488558071,1.760580709,,,,97.2,2020,6.7,823485,592663,547180,681082,664761,607208,669016,702222,666969,53.75,,,,,,,,35,1,4-Seam Fastball,2,0,0,2,0,2,0,2,Standard,Standard,200,-0.003,0.035,,,,-0.035,,2,-2,0.784,0.2159999999999999,23,23,23,24,3,2,,,,,1.24,0.49,-0.49,,,,,,
SI,2026-03-31,93.7,2.3,6.61,"Wood, James",695578,621383,double,hit_into_play,,,,,5,"James Wood doubles (2) on a sharp ground ball to first baseman Bryce Harper, deflected by pitcher Tanner Banks. Nasim Nuñez scores.",R,L,L,PHI,WSH,X,1.0,ground_ball,2,2,2026,1.1,0.86,0.1638580132968932,2.6836986822388025,,,683083.0,2,7,Top,171.74,147.46,,,,,-7.798588750563383,-136.094345934476,-6.014111408026333,15.415425208715098,30.760427613426096,-20.28768659829517,3.488558071,1.760580709,31.0,106.9,-3.0,92.2,2037,5.6,823485,592663,547180,681082,664761,607208,669016,702222,666969,54.91,0.437,0.419,1.25,1.0,1.0,1.0,4.0,54,8,Sinker,3,1,1,3,2,3,2,3,Standard,Standard,155,-0.136,0.971,76.0,6.7,0.499,-0.971,106.9,2,-2,0.859,0.141,34,23,35,24,1,3,,,,,1.75,1.1,1.1,,1.8579057922131008,9.511004366386627,40.74112961094361,33.42463779754417,25.43706760936473
FF,2026-03-31,96.8,-2.01,6.71,"Wood, James",695578,691725,field_out,hit_into_play,,,,,12,"James Wood grounds out, second baseman Bryson Stott to first baseman Bryce Harper.",R,L,R,PHI,WSH,X,4.0,ground_ball,0,1,2026,-0.33,1.23,0.9310625821790026,3.696758443644188,,,,1,3,Top,143.85,153.55,,,,,8.524268183919915,-140.78905269185304,-5.201335043250449,-6.129555587553017,29.059683829701346,-14.721548190689642,3.488558071,1.760580709,11.0,76.9,-18.0,97.4,2291,6.4,823485,592663,547180,681082,664761,607208,669016,702222,666969,54.07,0.063,0.062,0.0,1.0,0.0,0.0,2.0,18,2,4-Seam Fastball,0,0,0,0,0,0,0,0,Standard,Standard,193,0.015,-0.215,65.2,5.8,0.084,0.215,88.0,0,0,0.528,0.472,23,23,23,24,2,1,,,,,1.18,0.33,-0.33,,3.1337277508930104,17.130506929325307,37.78446810911333,26.138019402814223,23.507473746451343
SL,2026-03-31,87.9,-2.24,6.49,"Wood, James",695578,691725,,called_strike,,,,,9,Called Strike,R,L,R,PHI,WSH,S,,,0,0,2026,0.62,0.22,0.451811579855931,2.245166196973033,,,,1,3,Top,,,,,,,5.15655265252728,-127.99428541149052,-4.49073644038075,5.939627486202904,24.10135978469681,-29.12412240060524,3.488558071,1.760580709,,,,89.0,2468,6.8,823485,592663,547180,681082,664761,607208,669016,702222,666969,53.74,,,,,,,,18,1,Slider,0,0,0,0,0,0,0,0,Standard,Standard,133,0.003,-0.039,,,,0.039,,0,0,0.525,0.475,23,23,23,24,2,1,,,,,2.71,-0.62,0.62,,,,,,
SL,2026-03-31,86.9,2.44,6.54,"Wood, James",695578,621383,,foul,,,,,5,Foul,R,L,L,PHI,WSH,S,,,2,2,2026,-0.63,0.33,0.0581161816386578,2.5592815716632327,,,683083.0,2,7,Top,,,,,,,-4.271239329760345,-126.67696474892364,-3.8607445291195432,-6.098982409515706,22.515461690203622,-28.11829382279312,3.488558071,1.760580709,319.0,93.0,36.0,86.5,2278,5.6,823485,592663,547180,681082,664761,607208,669016,702222,666969,54.87,,,,,,,,54,7,Slider,3,1,1,3,1,3,1,3,Standard,Standard,201,0.0,0.0,76.8,6.6,,0.0,93.0,2,-2,0.859,0.141,34,23,35,24,1,3,,,,,2.65,-0.63,-0.63,,-0.993017196385578,9.731523431851636,43.442376008633325,35.036507011882634,25.50417428920676
FF,2026-03-31,93.5,2.28,6.57,"Wood, James",695578,621383,,foul,,,,,13,Foul,R,L,L,PHI,WSH,S,,,2,2,2026,0.06,0.94,-0.8365691362367788,2.390451752251137,,,683083.0,2,7,Top,,,,,,,-7.957850035435356,-135.8968681362323,-6.8157440578786,2.415746360762844,28.988825317113594,-19.190985811774485,3.488558071,1.760580709,213.0,74.1,37.0,92.4,2069,5.6,823485,592663,547180,681082,664761,607208,669016,702222,666969,54.87,,,,,,,,54,6,4-Seam Fastball,3,1,1,3,1,3,1,3,Standard,Standard,154,0.0,0.0,72.7,7.2,,0.0,88.0,2,-2,0.859,0.141,34,23,35,24,1,3,,,,,1.67,0.06,0.06,,4.386462632085018,14.60786521235128,40.93639528430884,47.379329966859245,20.59221492147035
ST,2026-03-31,82.3,2.53,6.39,"Wood, James",695578,621383,,ball,,,,,13,Ball,R,L,L,PHI,WSH,B,,,1,2,2026,-1.55,-0.29,-1.3895293129791657,1.850115773804342,,,683083.0,2,7,Top,,,,,,,-5.639568358085008,-119.60235791337328,-2.820819516580731,-13.494831734220366,26.454800707443383,-34.50535332654464,3.488558071,1.760580709,,,,80.7,2204,5.6,823485,592663,547180,681082,664761,607208,669016,702222,666969,54.87,,,,,,,,54,5,Sweeper,3,1,1,3,1,3,1,3,Standard,Standard,295,-0.005,0.033,,,,-0.033,,2,-2,0.864,0.136,34,23,35,24,1,3,,,,,3.7,-1.55,-1.55,,,,,,
