pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,fielder_2,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,bat_speed,swing_length,estimated_slg_using_speedangle,delta_pitcher_run_exp,hyper_speed,home_score_diff,bat_score_diff,home_win_exp,bat_win_exp,age_pit_legacy,age_bat_legacy,age_pit,age_bat,n_thruorder_pitcher,n_priorpa_thisgame_player_at_bat,pitcher_days_since_prev_game,batter_days_since_prev_game,pitcher_days_until_next_game,batter_days_until_next_game,api_break_z_with_gravity,api_break_x_arm,api_break_x_batter_in,arm_angle,attack_angle,attack_direction,swing_path_tilt,intercept_ball_minus_batter_pos_x_inches,intercept_ball_minus_batter_pos_y_inches
FS,2026-03-29,87.9,-2.34,5.72,"Harvey, Hunter",695734,640451,field_out,hit_into_play,,,,,4,Daylen Lile flies out to left fielder Ian Happ.,R,L,R,CHC,WSH,X,7.0,fly_ball,0,0,2026,-1.06,0.07,-0.4983913659321786,2.538253508863588,,,691781.0,2,7,Top,41.08,98.27,,,,,6.618965600100497,-127.78505638331336,-1.4916635367286886,-12.969928406665163,28.086372548821835,-31.28270500357639,3.180511811,1.60511811,325.0,96.7,42.0,87.4,1117,6.2,824700,608348,683737,663538,608324,621020,664023,691718,624424,54.3,0.034,0.056,0.0,1.0,0.0,0.0,3.0,55,1,Split-Finger,2,4,4,2,4,2,4,2,Infield shade,Standard,229,0.017,-0.271,73.2,7.3,0.107,0.271,96.7,-2,2,0.204,0.796,31,23,32,24,1,3,,1,,1,2.9,1.06,-1.06,41.7,9.915709280761671,9.5929451423394,35.068026354578365,42.31139879532472,26.43990994283477
SL,2026-03-29,87.5,-2.42,5.83,"Harvey, Hunter",691781,640451,single,hit_into_play,,,,,5,Brady House singles on a ground ball to left fielder Ian Happ.,R,R,R,CHC,WSH,X,7.0,ground_ball,1,0,2026,0.22,0.06,-0.1004792811406819,2.694601319096427,,,,2,7,Top,87.73,123.93,,,,,5.033223119665879,-127.35572995550316,-1.3607096864042845,1.4325555847400235,25.54900306933165,-31.475393317395906,3.370956365,1.701230315,21.0,105.9,-7.0,87.2,2511,6.0,824700,608348,683737,663538,608324,621020,664023,691718,624424,54.49,0.372,0.336,0.9,1.0,1.0,0.0,2.0,54,2,Slider,2,4,4,2,4,2,4,2,Standard,Standard,112,-0.007,0.288,76.6,7.5,0.403,-0.288,105.9,-2,2,0.211,0.789,31,23,32,23,1,3,,1,,1,2.91,-0.22,-0.22,40.9,9.844671251280324,-1.3134222886298776,34.8216626218029,36.416708103429855,31.684580924865077
SL,2026-03-29,88.9,-2.21,5.79,"Harvey, Hunter",691781,640451,,ball,,,,,14,Ball,R,R,R,CHC,WSH,B,,,0,0,2026,0.42,0.24,2.1573091368122848,2.019612375005882,,,,2,7,Top,,,,,,,9.642694076616651,-129.11991329173895,-3.484449059986542,2.7752041355418866,25.787515765972724,-28.989728036558663,3.370956365,1.701230315,,,,88.8,2500,6.3,824700,608348,683737,663538,608324,621020,664023,691718,624424,54.24,,,,,,,,54,1,Slider,2,4,4,2,4,2,4,2,Standard,Standard,113,-0.001,0.037,,,,-0.037,,-2,2,0.212,0.788,31,23,32,23,1,3,,1,,1,2.65,-0.42,-0.42,43.6,,,,,
FS,2026-03-29,90.9,-2.22,5.84,"Harvey, Hunter",671277,640451,field_out,hit_into_play,,,,,11,"Luis García Jr. grounds out, shortstop Dansby Swanson to first baseman Michael Busch.",R,L,R,CHC,WSH,X,6.0,ground_ball,0,2,2026,-1.24,-0.05,-1.063248157974305,2.504256162536037,,,,1,7,Top,119.06,138.29,,,,,5.544567115642928,-132.3328010689584,-2.121363455102891,-15.812378427381525,28.223379628224063,-32.5483773337235,3.248088911,1.639222441,8.0,92.2,-17.0,90.6,1131,6.1,824700,608348,683737,663538,608324,621020,664023,691718,624424,54.43,0.139,0.133,0.0,1.0,0.0,0.0,2.0,53,3,Split-Finger,2,4,4,2,4,2,4,2,Infield shade,Standard,230,0.007,-0.163,68.6,7.0,0.158,0.163,92.2,-2,2,0.205,0.795,31,26,32,26,1,0,,1,,1,2.81,1.24,-1.24,41.6,0.8192651543828916,18.37836014265012,22.674881206417645,49.31798476297636,18.936258369255064
FF,2026-03-29,97.4,-1.95,5.95,"Harvey, Hunter",671277,640451,,called_strike,,,,,9,Called Strike,R,L,R,CHC,WSH,S,,,0,1,2026,-0.66,1.5,0.3815818381503959,1.82513570377296,,,,1,7,Top,,,,,,,7.682834887050378,-141.3513564300433,-8.728570620443763,-10.622451714476018,34.76811247231668,-10.191680741609783,3.248088911,1.639222441,,,,96.8,2161,6.3,824700,608348,683737,663538,608324,621020,664023,691718,624424,54.24,,,,,,,,53,2,4-Seam Fastball,2,4,4,2,4,2,4,2,Infield shade,Standard,207,0.002,-0.052,,,,0.052,,-2,2,0.203,0.7969999999999999,31,26,32,26,1,0,,1,,1,0.93,0.66,-0.66,45.8,,,,,
FS,2026-03-29,89.8,-2.29,5.77,"Harvey, Hunter",671277,640451,,called_strike,,,,,4,Called Strike,R,L,R,CHC,WSH,S,,,0,0,2026,-1.31,0.29,-0.6639887561802447,2.36890121662452,,,,1,7,Top,,,,,,,6.762533597874257,-130.56854941501177,-2.7966545873288373,-16.461455302162978,28.80164064250202,-28.51554608259628,3.248088911,1.639222441,,,,89.3,1185,6.1,824700,608348,683737,663538,608324,621020,664023,691718,624424,54.38,,,,,,,,53,1,Split-Finger,2,4,4,2,4,2,4,2,Infield shade,Standard,234,0.002,-0.039,,,,0.039,,-2,2,0.201,0.7989999999999999,31,26,32,26,1,0,,1,,1,2.56,1.31,-1.31,43.6,,,,,
FF,2026-03-29,97.0,-2.06,5.98,"Harvey, Hunter",695578,640451,field_out,hit_into_play,,,,,4,James Wood flies out to left fielder Ian Happ.,R,L,R,CHC,WSH,X,7.0,fly_ball,2,1,2026,-0.6,1.42,-0.6101163797263077,2.653599868457473,,,,0,7,Top,50.48,120.93,,,,,5.205461545177825,-141.11231722886177,-6.426937466916831,-9.254316212331764,32.49174409917445,-11.865232562226714,3.488558071,1.760580709,269.0,84.0,31.0,96.7,2177,6.1,824700,608348,683737,663538,608324,621020,664023,691718,624424,54.36,0.049,0.058,0.0,1.0,0.0,0.0,3.0,52,4,4-Seam Fastball,2,4,4,2,4,2,4,2,Infield shade,Standard,204,0.018,-0.305,79.7,7.4,0.09,0.305,88.0,-2,2,0.183,0.817,31,23,32,24,1,3,,1,,1,1.0,0.6,-0.6,53.2,8.507833756242876,9.508971179932798,35.49856650394292,46.34070574369673,26.854073443719248
FS,2026-03-29,90.5,-2.14,5.77,"Harvey, Hunter",695578,640451,,ball,,,,,14,Ball,R,L,R,CHC,WSH,B,,,1,1,2026,-1.01,0.55,1.0355192638377309,-0.5621454572199651,,,,0,7,Top,,,,,,,9.979167984268337,-131.087727849441,-10.689286190510902,-13.739319521330453,26.51280066162048,-23.712981392271185,3.488558071,1.760580709,,,,90.3,1147,6.3,824700,608348,683737,663538,608324,621020,664023,691718,624424,54.17,,,,,,,,52,3,Split-Finger,2,4,4,2,4,2,4,2,Infield shade,Standard,225,-0.003,0.055,,,,-0.055,,-2,2,0.186,0.8140000000000001,31,23,32,24,1,3,,1,,1,2.25,1.01,-1.01,43.2,,,,,
FS,2026-03-29,89.9,-2.29,5.84,"Harvey, Hunter",695578,640451,,swinging_strike,,,,,13,Swinging Strike,R,L,R,CHC,WSH,S,,,1,0,2026,-1.0,0.21,-0.3679091633256899,1.5011495244872113,,,,0,7,Top,,,,,,,6.830939055066927,-130.62484272783442,-4.929569507807292,-12.933112838324286,28.91422926920801,-28.88926052133764,3.488558071,1.760580709,,,,89.5,1128,6.2,824700,608348,683737,663538,608324,621020,664023,691718,624424,54.29,,,,,,,,52,2,Split-Finger,2,4,4,2,4,2,4,2,Infield shade,Standard,231,0.003,-0.05,64.8,8.5,,0.05,,-2,2,0.183,0.817,31,23,32,24,1,3,,1,,1,2.63,1.0,-1.0,42.7,24.97583465600521,-4.103988739635031,43.26328880581897,44.73274756055618,40.19159274985621
FF,2026-03-29,98.0,-2.03,5.95,"Harvey, Hunter",695578,640451,,ball,,,,,13,Ball,R,L,R,CHC,WSH,B,,,0,0,2026,-0.83,1.38,-0.2925133142779383,1.5525414361380163,,,,0,7,Top,,,,,,,6.560971955483949,-142.27515144688272,-9.276045735996927,-12.838550365783416,35.970917716771545,-11.34402234923648,3.488558071,1.760580709,,,,97.1,2101,6.2,824700,608348,683737,663538,608324,621020,664023,691718,624424,54.35,,,,,,,,52,1,4-Seam Fastball,2,4,4,2,4,2,4,2,Infield shade,Standard,207,-0.002,0.041,,,,-0.041,,-2,2,0.185,0.815,31,23,32,24,1,3,,1,,1,1.02,0.83,-0.83,44.5,,,,,
